178
[(113, 8, 3), (113, 35, 0), (114, 16, 3), (100, 10, 2), (98, 13, 2), (87, 26, 2), (116, 18, 1), (98, 24, 0), (107, 32, 1), (86, 1, 0), (86, 17, 3), (106, 2, 0), (103, 23, 3), (117, 38, 2), (94, 39, 3), (105, 17, 2), (89, 13, 1), (114, 1, 0), (101, 7, 2), (118, 23, 0)]
600 62                     -28.571666666666665 -50 -50 0.0
70600 178.0 177.99698172082498                         178 177.62 0.9983333333333333
71100 178.0 177.9747593043197                         178 176.86 0.995
71600 178.0 177.99468932347966                         178 177.62 0.9983333333333333
72100 178.0 177.99925064362762                         178 177.62 0.9983333333333333
72600 178.0 177.9920118305936                         178 177.24 0.9966666666666667
73100 178.0 177.98987616622668                         178 177.24 0.9966666666666667
73600 178.0 177.98672870280916                         178 177.24 0.9966666666666667
74100 178.0 177.99639172682456                         178 177.24 0.9966666666666667
74600 178.0 177.99630980889623                         178 177.24 0.9966666666666667
75100 178.0 177.99616285295951                         178 177.24 0.9966666666666667
75600 178.0 177.9657901176502                         178 176.48 0.9933333333333333
76100 178.0 177.97532370874072                         178 176.86 0.995
76600 178.0 177.98504912437932                         178 176.86 0.995
77100 178.0 177.99619238952076                         178 177.62 0.9983333333333333
77600 178.0 178.0                         178 178 1.0
78100 178.0 177.99108853777835                         178 177.62 0.9983333333333333
78600 178.0 177.99928753129262                         178 177.62 0.9983333333333333
79100 178.0 177.99636325650863                         178 177.24 0.9966666666666667
79600 178.0 177.99347483568812                         178 177.62 0.9983333333333333
80100 178.0 178.0                         178 178 1.0
80600 178.0 177.99850138445555                         178 177.62 0.9983333333333333
81100 178.0 177.98874108806316                         178 177.24 0.9966666666666667
81600 178.0 177.98988392564675                         178 177.24 0.9966666666666667
82100 178.0 177.9898241627675                         178 176.86 0.995
82600 178.0 177.9888768944686                         178 177.24 0.9966666666666667
83100 178.0 177.99556053473617                         178 177.24 0.9966666666666667
83600 178.0 178.0                         178 178 1.0
84100 178.0 178.0                         178 178 1.0
84600 178.0 178.0                         178 178 1.0
85100 178.0 177.99780729813554                         178 177.62 0.9983333333333333
85600 178.0 178.0                         178 178 1.0
86100 178.0 177.9898871978328                         178 177.615 0.9983333333333333
86600 178.0 177.99048060910354                         178 176.86 0.995
87100 178.0 177.98122268981678                         178 176.86 0.995
87600 178.0 177.99243169433035                         178 177.62 0.9983333333333333
88100 178.0 177.9894715831335                         178 176.86 0.995
88600 178.0 177.9818046444581                         178 176.86 0.995
89100 178.0 177.97639663713596                         178 176.86 0.995
89600 178.0 177.99130380746018                         178 176.86 0.995
90100 178.0 178.0                         178 178 1.0
90600 178.0 177.97091017291675                         178 176.48 0.9933333333333333
91100 178.0 177.98797774804103                         178 177.62 0.9983333333333333
91600 178.0 177.9712670055336                         178 177.22166666666666 0.9966666666666667
92100 178.0 178.0                         178 178 1.0
92600 178.0 177.9856342258725                         178 177.24 0.9966666666666667
93100 178.0 178.0                         178 178 1.0
93600 178.0 177.99558873178557                         178 177.62 0.9983333333333333
94100 178.0 177.9939092058742                         178 177.61833333333334 0.9983333333333333
94600 178.0 177.97600644593905                         178 176.48 0.9933333333333333
95100 178.0 177.99310397479786                         178 177.62 0.9983333333333333
95600 178.0 177.99014838572958                         178 176.86 0.995
96100 178.0 177.9933095277596                         178 177.24 0.9966666666666667
96600 178.0 177.99545895789234                         178 177.62 0.9983333333333333
97100 178.0 178.0                         178 178 1.0
97600 178.0 177.9748855502203                         178 176.86 0.995
98100 178.0 177.98358895968576                         178 177.24 0.9966666666666667
98600 178.0 177.98389559948652                         178 176.86 0.995
99100 178.0 177.98627119576597                         178 177.62 0.9983333333333333
99600 178.0 177.98923691783818                         178 177.62 0.9983333333333333
100100 178.0 177.98372020956273                         178 177.24 0.9966666666666667
