173
[(105, 9, 2), (109, 25, 2), (95, 38, 1), (100, 9, 0), (98, 27, 3), (88, 1, 1), (105, 26, 1), (121, 23, 0), (96, 13, 3), (121, 13, 2), (94, 25, 1), (85, 28, 0), (97, 17, 1), (121, 26, 3), (103, 34, 3), (88, 37, 3), (105, 36, 1), (96, 0, 3), (110, 0, 3), (89, 37, 1)]
600 40.0                     -38.893 -50 -50 0.0
57600 168.6 163.94966666666667                         166 -33.501666666666665 0.07666666666666666
58100 168.8 164.21066666666667                         166 -30.981666666666666 0.08833333333333333
58600 168.8 164.33433333333335                         166 -29.18166666666667 0.09666666666666666
59100 168.8 164.395                         166 -27.025 0.10666666666666667
59600 168.8 164.543                         166 -25.945 0.11166666666666666
60100 168.8 164.71333333333334                         166 -23.435 0.12333333333333334
60600 168.8 164.91233333333332                         166 -18.765 0.145
61100 168.8 165.10833333333335                         166 -13.376666666666667 0.17
61600 169.6 165.24433333333334                         166 -10.86 0.18166666666666667
62100 169.8 165.561                         167 -9.415 0.18833333333333332
62600 169.8 165.70366666666666                         167 -9.048333333333334 0.19
63100 170.0 165.806                         170 -8.313333333333333 0.19333333333333333
63600 170.0 166.11133333333333                         170 -9.741666666666667 0.18666666666666668
64100 170.0 166.35333333333332                         170 -12.966666666666667 0.17166666666666666
64600 170.0 166.65133333333333                         170 -17.998333333333335 0.14833333333333334
65100 171.6 166.83133333333333                         170 -28.051666666666666 0.10166666666666667
65600 171.6 167.17633333333333                         170 -38.473333333333336 0.05333333333333334
66100 171.0 167.46233333333333                         171 -43.123333333333335 0.03166666666666667
66600 171.0 167.66733333333335                         171 -47.085 0.013333333333333334
67100 171.0 167.83533333333332                         171 -48.166666666666664 0.008333333333333333
67600 171.0 167.956                         171 -47.80166666666667 0.01
68100 171.0 168.22433333333333                         171 -46.70333333333333 0.015
68600 171.0 168.31333333333333                         171 -45.97 0.018333333333333333
69100 171.0 168.42533333333333                         171 -45.60333333333333 0.02
69600 171.0 168.528                         171 -44.13666666666666 0.02666666666666667
70100 171.0 168.73233333333334                         171 -43.03666666666667 0.03166666666666667
70600 171.0 168.79266666666666                         171 -40.843333333333334 0.041666666666666664
71100 171.0 168.87300000000002                         171 -38.285 0.05333333333333334
71600 171.0 169.035                         171 -37.18333333333333 0.058333333333333334
72100 171.0 169.14700000000002                         171 -35.355 0.06666666666666667
