177
[(61, 16, 1), (62, 11, 3), (94, 30, 3), (72, 6, 0), (80, 29, 3), (78, 15, 0), (84, 16, 3), (84, 13, 0), (90, 14, 0), (93, 0, 3), (76, 37, 0), (60, 32, 0), (71, 10, 1), (76, 8, 1), (87, 12, 2), (84, 32, 2), (72, 22, 0), (64, 14, 1), (79, 15, 2), (60, 22, 1)]
600 35                     -30.611666666666668 -50 -50 0.0
81600 177.0 176.99092101394152                         177 176.24333333333334 0.9966666666666667
82100 177.0 177.0                         177 177 1.0
82600 177.0 176.99872606659886                         177 176.62166666666667 0.9983333333333333
83100 177.0 176.99453296303508                         177 176.24333333333334 0.9966666666666667
83600 177.0 176.99287248993448                         177 176.24333333333334 0.9966666666666667
84100 177.0 177.0                         177 177 1.0
84600 177.0 176.99676266744308                         177 176.24333333333334 0.9966666666666667
85100 177.0 176.99799006905428                         177 176.62166666666667 0.9983333333333333
85600 177.0 176.99032905981431                         177 176.62166666666667 0.9983333333333333
86100 177.0 176.99801005404814                         177 176.62166666666667 0.9983333333333333
86600 177.0 176.99338963596827                         177 176.62166666666667 0.9983333333333333
87100 177.0 176.98208461158652                         177 175.865 0.995
87600 177.0 176.9954912661186                         177 176.24333333333334 0.9966666666666667
88100 177.0 176.98949458726224                         177 175.865 0.995
88600 177.0 176.99698474547625                         177 176.62166666666667 0.9983333333333333
89100 177.0 176.98331965893226                         177 175.48666666666668 0.9933333333333333
89600 177.0 176.99867574953325                         177 176.62166666666667 0.9983333333333333
90100 177.0 176.97066801447505                         177 175.48666666666668 0.9933333333333333
90600 177.0 176.99048242297437                         177 176.24333333333334 0.9966666666666667
91100 177.0 176.9872818141526                         177 176.24333333333334 0.9966666666666667
91600 177.0 176.9962874969109                         177 176.62166666666667 0.9983333333333333
92100 177.0 176.9821222291327                         177 175.48666666666668 0.9933333333333333
92600 177.0 176.97997107768703                         177 175.865 0.995
93100 177.0 176.99868188177157                         177 176.62166666666667 0.9983333333333333
93600 177.0 176.9940073528473                         177 176.24333333333334 0.9966666666666667
94100 177.0 176.99566271436586                         177 176.62166666666667 0.9983333333333333
94600 177.0 176.9960221673021                         177 176.62166666666667 0.9983333333333333
95100 177.0 176.9776242407901                         177 175.865 0.995
95600 177.0 176.98873390639577                         177 176.24333333333334 0.9966666666666667
96100 177.0 176.99179094594786                         177 176.62166666666667 0.9983333333333333
96600 177.0 177.0                         177 177 1.0
97100 177.0 176.98894559314436                         177 176.61333333333334 0.9983333333333333
97600 177.0 176.98131227524024                         177 175.10833333333332 0.9916666666666667
98100 177.0 176.9979006205895                         177 176.62166666666667 0.9983333333333333
98600 177.0 176.9971613022956                         177 176.62166666666667 0.9983333333333333
99100 177.0 176.9902290722472                         177 175.48666666666668 0.9933333333333333
99600 177.0 176.99266846980905                         177 175.865 0.995
100100 177.0 176.99866568630736                         177 176.62166666666667 0.9983333333333333
