177
[(81, 36, 2), (87, 28, 1), (81, 38, 2), (94, 11, 2), (105, 37, 0), (78, 9, 3), (76, 15, 3), (73, 26, 2), (101, 5, 0), (99, 34, 3), (83, 14, 3), (91, 25, 0), (100, 12, 2), (72, 14, 1), (102, 0, 1), (80, 32, 3), (73, 3, 0), (105, 21, 2), (81, 21, 3), (100, 32, 2)]
600 43                     -29.815 -50 -50 0.0
29100 176.58437595726394 175.09655074243477                         -50 -50 0.0
29600 177.0 175.35519620202436                         177 -48.865 0.005
30100 177.0 175.58442623215882                         177 -46.973333333333336 0.013333333333333334
30600 177.0 175.8675929569836                         177 -42.055 0.035
31100 177.0 176.14228433679204                         177 -28.813333333333333 0.09333333333333334
31600 177.0 176.45056762742195                         177 -0.8183333333333334 0.21666666666666667
32100 177.0 176.70507019815162                         177 47.61 0.43
32600 177.0 176.88088965884168                         177 110.035 0.705
33100 177.0 176.96434553851907                         177 159.21833333333333 0.9216666666666666
33600 177.0 176.9923636507236                         177 175.10833333333332 0.9916666666666667
34100 177.0 176.97915400667762                         177 174.73 0.99
34600 177.0 176.99425298151982                         177 175.10833333333332 0.9916666666666667
35100 177.0 176.998542648334                         177 176.62166666666667 0.9983333333333333
35600 177.0 176.97745582641136                         177 175.48666666666668 0.9933333333333333
36100 177.0 176.99688480755452                         177 176.62 0.9983333333333333
36600 177.0 176.99049022145226                         177 176.24333333333334 0.9966666666666667
37100 177.0 177.0                         177 177 1.0
37600 177.0 176.99585435529644                         177 176.62166666666667 0.9983333333333333
38100 177.0 176.97300449984007                         177 175.1 0.9916666666666667
38600 177.0 176.9919672242638                         177 176.24333333333334 0.9966666666666667
39100 177.0 176.9986025417039                         177 176.62166666666667 0.9983333333333333
39600 177.0 176.98933812490804                         177 176.24333333333334 0.9966666666666667
40100 177.0 176.9929316043797                         177 176.62166666666667 0.9983333333333333
40600 177.0 176.9985948623135                         177 176.24333333333334 0.9966666666666667
41100 177.0 176.9898896920273                         177 175.865 0.995
41600 177.0 176.98657525600441                         177 176.24333333333334 0.9966666666666667
42100 177.0 177.0                         177 177 1.0
42600 177.0 176.99344533976526                         177 176.62166666666667 0.9983333333333333
43100 177.0 177.0                         177 177 1.0
43600 177.0 176.98547720958254                         177 175.48666666666668 0.9933333333333333
44100 177.0 176.99288748307117                         177 176.62166666666667 0.9983333333333333
44600 177.0 176.98990757696907                         177 175.865 0.995
45100 177.0 176.98917777369834                         177 176.24333333333334 0.9966666666666667
45600 177.0 176.99209685943626                         177 175.48666666666668 0.9933333333333333
46100 177.0 177.0                         177 177 1.0
46600 177.0 176.9927670384683                         177 176.62166666666667 0.9983333333333333
47100 177.0 177.0                         177 177 1.0
47600 177.0 176.99789347447785                         177 176.62166666666667 0.9983333333333333
48100 177.0 176.99833333333333                         177 176.99833333333333 1.0
48600 177.0 176.98205847061223                         177 175.48666666666668 0.9933333333333333
49100 177.0 176.9845524599365                         177 175.865 0.995
49600 177.0 176.9840273377773                         177 175.48666666666668 0.9933333333333333
50100 177.0 176.99110878152993                         177 176.24333333333334 0.9966666666666667
50600 177.0 177.0                         177 177 1.0
51100 177.0 177.0                         177 177 1.0
51600 177.0 176.99559055800938                         177 176.24333333333334 0.9966666666666667
52100 177.0 176.99573057902342                         177 176.62166666666667 0.9983333333333333
52600 177.0 176.99693173031136                         177 176.62166666666667 0.9983333333333333
53100 177.0 177.0                         177 177 1.0
53600 177.0 176.9857686561956                         177 176.24333333333334 0.9966666666666667
54100 177.0 176.99581402281507                         177 176.62166666666667 0.9983333333333333
54600 177.0 176.98701673107624                         177 176.24333333333334 0.9966666666666667
55100 177.0 176.9749044567738                         177 176.24333333333334 0.9966666666666667
55600 177.0 176.9871187052473                         177 176.24333333333334 0.9966666666666667
56100 177.0 176.9972205076582                         177 176.24333333333334 0.9966666666666667
56600 177.0 176.9882462928226                         177 176.24333333333334 0.9966666666666667
57100 177.0 176.995106095601                         177 175.865 0.995
57600 177.0 176.9921728142434                         177 176.62166666666667 0.9983333333333333
58100 177.0 176.99674404409504                         177 176.24333333333334 0.9966666666666667
58600 177.0 176.99930950129877                         177 176.62166666666667 0.9983333333333333
59100 177.0 176.98060096033504                         177 176.23166666666665 0.9966666666666667
59600 177.0 176.99719481204676                         177 176.24333333333334 0.9966666666666667
60100 177.0 177.0                         177 177 1.0
60600 177.0 177.0                         177 177 1.0
61100 177.0 176.99242931335974                         177 175.48666666666668 0.9933333333333333
61600 177.0 177.0                         177 177 1.0
62100 177.0 176.98692669685403                         177 175.865 0.995
62600 177.0 176.9719589299269                         177 174.35166666666666 0.9883333333333333
63100 177.0 176.99225681954908                         177 175.865 0.995
63600 177.0 176.97405430745715                         177 175.85166666666666 0.995
64100 177.0 176.995                         177 176.995 1.0
64600 177.0 176.99653579335487                         177 176.62166666666667 0.9983333333333333
65100 177.0 176.9979022453228                         177 176.62166666666667 0.9983333333333333
65600 177.0 176.99860503115147                         177 176.62166666666667 0.9983333333333333
66100 177.0 176.98833540049446                         177 175.48666666666668 0.9933333333333333
66600 177.0 176.99388884825797                         177 176.24333333333334 0.9966666666666667
67100 177.0 176.99660485280702                         177 176.62166666666667 0.9983333333333333
67600 177.0 176.98552351496954                         177 175.865 0.995
68100 177.0 176.99858701114707                         177 176.62166666666667 0.9983333333333333
68600 177.0 176.99507137424231                         177 176.62166666666667 0.9983333333333333
69100 177.0 176.9900966673981                         177 176.24333333333334 0.9966666666666667
69600 177.0 176.9849621175438                         177 175.48666666666668 0.9933333333333333
70100 177.0 176.99081581491643                         177 175.865 0.995
70600 177.0 177.0                         177 177 1.0
71100 177.0 176.99595276603227                         177 176.62166666666667 0.9983333333333333
71600 177.0 176.9900362290291                         177 175.865 0.995
72100 177.0 176.9833639424776                         177 175.865 0.995
72600 177.0 176.99470448852256                         177 176.24333333333334 0.9966666666666667
73100 177.0 176.98390377709296                         177 175.865 0.995
73600 177.0 177.0                         177 177 1.0
74100 177.0 176.99589232975708                         177 176.62166666666667 0.9983333333333333
74600 177.0 176.99797030466823                         177 176.62166666666667 0.9983333333333333
75100 177.0 177.0                         177 177 1.0
75600 177.0 176.9993166172518                         177 176.62166666666667 0.9983333333333333
76100 177.0 176.98057507519192                         177 175.86 0.995
76600 177.0 176.99788281748596                         177 176.62166666666667 0.9983333333333333
77100 177.0 177.0                         177 177 1.0
77600 177.0 176.99526168426985                         177 176.24333333333334 0.9966666666666667
78100 177.0 176.99428805584836                         177 176.62166666666667 0.9983333333333333
78600 177.0 176.96980014252355                         177 175.10833333333332 0.9916666666666667
79100 177.0 176.976653564639                         177 175.48666666666668 0.9933333333333333
79600 177.0 176.96522276974554                         177 175.1 0.9916666666666667
80100 177.0 176.98550789943454                         177 175.865 0.995
80600 177.0 176.9964929882934                         177 176.62166666666667 0.9983333333333333
81100 177.0 176.99666666666667                         177 176.99666666666667 1.0
81600 177.0 176.99298385250853                         177 176.24333333333334 0.9966666666666667
82100 177.0 176.99182762614333                         177 175.865 0.995
82600 177.0 177.0                         177 177 1.0
83100 177.0 176.9959337135971                         177 176.62166666666667 0.9983333333333333
83600 177.0 176.99518323214681                         177 176.62166666666667 0.9983333333333333
84100 177.0 176.99114544220652                         177 176.62166666666667 0.9983333333333333
84600 177.0 176.99718726190898                         177 176.62166666666667 0.9983333333333333
85100 177.0 176.9894845234141                         177 176.24333333333334 0.9966666666666667
85600 177.0 176.98912141138058                         177 176.24333333333334 0.9966666666666667
86100 177.0 176.98079470961045                         177 174.73 0.99
86600 177.0 177.0                         177 177 1.0
87100 177.0 176.99400581849343                         177 176.62166666666667 0.9983333333333333
87600 177.0 177.0                         177 177 1.0
88100 177.0 176.99549439239843                         177 176.62166666666667 0.9983333333333333
88600 177.0 177.0                         177 177 1.0
89100 177.0 176.9783129738838                         177 175.855 0.995
89600 177.0 177.0                         177 177 1.0
90100 177.0 176.99861741340757                         177 176.24333333333334 0.9966666666666667
90600 177.0 176.9993087067038                         177 176.62166666666667 0.9983333333333333
91100 177.0 176.99032343482907                         177 175.865 0.995
91600 177.0 176.98954564783293                         177 176.62166666666667 0.9983333333333333
92100 177.0 176.99691603301997                         177 176.62166666666667 0.9983333333333333
92600 177.0 176.99299980290155                         177 176.24333333333334 0.9966666666666667
93100 177.0 176.97955289393042                         177 175.48666666666668 0.9933333333333333
93600 177.0 177.0                         177 177 1.0
94100 177.0 176.99856938528293                         177 176.62166666666667 0.9983333333333333
94600 177.0 177.0                         177 177 1.0
95100 177.0 176.98908862150518                         177 176.24333333333334 0.9966666666666667
95600 177.0 176.99212577397506                         177 176.24333333333334 0.9966666666666667
96100 177.0 176.98750338093313                         177 176.24333333333334 0.9966666666666667
96600 177.0 176.98849239901003                         177 176.61666666666667 0.9983333333333333
97100 177.0 176.99362443832422                         177 176.24333333333334 0.9966666666666667
97600 177.0 176.9829408331496                         177 175.86 0.995
98100 177.0 176.992392520083                         177 176.24333333333334 0.9966666666666667
98600 177.0 176.98541836714662                         177 175.865 0.995
99100 177.0 176.99791552239947                         177 176.62166666666667 0.9983333333333333
99600 177.0 176.99931136159896                         177 176.62166666666667 0.9983333333333333
100100 177.0 176.99040315053637                         177 176.62166666666667 0.9983333333333333
