177
[(63, 0, 0), (76, 20, 0), (90, 16, 2), (86, 6, 2), (68, 18, 2), (67, 24, 2), (56, 9, 0), (75, 16, 3), (56, 1, 0), (75, 39, 1), (58, 23, 3), (63, 17, 2), (90, 19, 2), (81, 35, 1), (88, 27, 1), (68, 14, 2), (64, 6, 1), (73, 0, 0), (79, 33, 2), (59, 31, 1)]
600 53                     -29.18 28 -49.87 0.0016666666666666668
62600 176.61517936275945 176.5892679818588                         -50 -50 0.0
63100 176.61517936275945 176.58840649487422                         -50 -50 0.0
63600 176.61517936275945 176.58054497374263                         -50 -50 0.0
64100 176.61517936275945 176.5761864878219                         -50 -50 0.0
64600 176.61517936275945 176.58118774973934                         -50 -50 0.0
65100 176.61517936275945 176.57172846992867                         -50 -50 0.0
65600 176.61517936275945 176.59235499748766                         -50 -50 0.0
66100 176.61517936275945 176.58327852558463                         -50 -50 0.0
66600 176.61517936275945 176.59780563481706                         -50 -50 0.0
67100 176.6086287226348 176.58767693101018                         -50 -50 0.0
67600 176.6086287226348 176.59588636971853                         -50 -50 0.0
68100 176.6086287226348 176.59284421465514                         -50 -50 0.0
68600 176.6086287226348 176.5951595008032                         -50 -50 0.0
69100 176.6086287226348 176.5935312260767                         -50 -50 0.0
69600 176.6086287226348 176.5953420644076                         -50 -50 0.0
70100 176.6086287226348 176.59042975074954                         -50 -50 0.0
70600 176.6086287226348 176.59464347911566                         -50 -50 0.0
71100 176.6086287226348 176.5930304313881                         174 -49.626666666666665 0.0016666666666666668
71600 176.6086287226348 176.5988044291043                         -50 -50 0.0
72100 176.6086287226348 176.58823955943373                         -50 -50 0.0
72600 176.6086287226348 176.58717600426394                         -50 -50 0.0
73100 176.6086287226348 176.59290874417073                         -50 -50 0.0
73600 176.6086287226348 176.58496471484085                         -50 -50 0.0
74100 176.6086287226348 176.58685357166624                         -50 -50 0.0
74600 177.0 176.59414467775952                         177 -49.62166666666667 0.0016666666666666668
75100 177.0 176.59135840821585                         177 -48.865 0.005
75600 177.0 176.5999796213293                         177 -48.108333333333334 0.008333333333333333
76100 177.0 176.60146626577222                         177 -45.46 0.02
76600 177.0 176.6049354805998                         177 -37.515 0.055
77100 177.0 176.65283860696525                         177 -17.463333333333335 0.14333333333333334
77600 177.0 176.73286484014238                         177 24.531666666666666 0.3283333333333333
78100 177.0 176.83417065997716                         177 86.57833333333333 0.6016666666666667
78600 177.0 176.95582076700754                         177 154.295 0.9
79100 177.0 176.98780358679764                         177 173.595 0.985
79600 177.0 176.982860436117                         177 176.23666666666668 0.9966666666666667
80100 177.0 176.98444099154344                         177 175.865 0.995
80600 177.0 176.98872322541527                         177 176.24333333333334 0.9966666666666667
81100 177.0 176.98528265742908                         177 176.61333333333334 0.9983333333333333
81600 177.0 177.0                         177 177 1.0
82100 177.0 177.0                         177 177 1.0
82600 177.0 176.99714750636147                         177 176.62166666666667 0.9983333333333333
83100 177.0 176.95955072268714                         177 175.10166666666666 0.9916666666666667
83600 177.0 176.99928260433737                         177 176.62166666666667 0.9983333333333333
84100 177.0 176.9922755549273                         177 176.24333333333334 0.9966666666666667
84600 177.0 176.98833591588502                         177 176.24333333333334 0.9966666666666667
85100 177.0 176.9977560207557                         177 176.62166666666667 0.9983333333333333
85600 177.0 176.9948397103417                         177 176.24333333333334 0.9966666666666667
86100 177.0 176.99262144926544                         177 176.62166666666667 0.9983333333333333
86600 177.0 176.9949074980575                         177 176.24333333333334 0.9966666666666667
87100 177.0 176.97533923801257                         177 175.10833333333332 0.9916666666666667
87600 177.0 176.97972166043354                         177 175.865 0.995
88100 177.0 176.99785822724678                         177 176.62166666666667 0.9983333333333333
88600 177.0 177.0                         177 177 1.0
89100 177.0 176.98612066047494                         177 176.24333333333334 0.9966666666666667
89600 177.0 177.0                         177 177 1.0
90100 177.0 176.99928953272038                         177 176.62166666666667 0.9983333333333333
90600 177.0 177.0                         177 177 1.0
91100 177.0 176.98973343940432                         177 176.24166666666667 0.9966666666666667
91600 177.0 176.99856004242838                         177 176.62166666666667 0.9983333333333333
92100 177.0 176.99713473573485                         177 176.62166666666667 0.9983333333333333
92600 177.0 176.99220202219217                         177 176.62166666666667 0.9983333333333333
93100 177.0 176.98384412322773                         177 175.865 0.995
93600 177.0 176.9892226375494                         177 176.24333333333334 0.9966666666666667
94100 177.0 176.997331837237                         177 176.62166666666667 0.9983333333333333
94600 177.0 176.9891876575645                         177 176.24 0.9966666666666667
95100 177.0 176.98197595930216                         177 176.24333333333334 0.9966666666666667
95600 177.0 177.0                         177 177 1.0
96100 177.0 176.99722462327682                         177 176.62166666666667 0.9983333333333333
96600 177.0 177.0                         177 177 1.0
97100 177.0 177.0                         177 177 1.0
97600 177.0 176.98682368211377                         177 176.62166666666667 0.9983333333333333
98100 177.0 176.99256858321414                         177 175.48666666666668 0.9933333333333333
98600 177.0 176.99659187400917                         177 176.62166666666667 0.9983333333333333
99100 177.0 176.96668963556732                         177 176.22666666666666 0.9966666666666667
99600 177.0 177.0                         177 177 1.0
100100 177.0 176.98930876328637                         177 176.61166666666668 0.9983333333333333
