180
[(81, 11, 2), (90, 25, 0), (64, 7, 3), (93, 7, 2), (64, 27, 3), (82, 16, 0), (90, 3, 3), (91, 35, 0), (88, 22, 1), (75, 33, 2), (81, 17, 2), (67, 18, 0), (92, 33, 2), (67, 5, 1), (74, 36, 0), (67, 33, 3), (76, 35, 1), (74, 5, 3), (82, 6, 3), (64, 39, 2)]
600 45                     -29.986666666666668 -50 -50 0.0
24100 176.67837535520394 172.63681405550048                         -50 -50 0.0
24600 176.75350119978958 173.51396517267676                         -50 -50 0.0
25100 176.94881798405206 174.342294805302                         -50 -50 0.0
25600 177.4551426859619 174.95614105907742                         -50 -50 0.0
26100 177.4551426859619 175.4397167372034                         -50 -50 0.0
26600 177.8256541773826 175.7923237154643                         -50 -50 0.0
27100 177.87987458708093 176.15944472382122                         -50 -50 0.0
27600 177.87987458708093 176.459911677959                         -50 -50 0.0
28100 178.3062464754841 176.67929703871243                         -50 -50 0.0
28600 178.31697612222442 176.96233113724213                         -50 -50 0.0
29100 178.31697612222442 177.26240158315053                         -50 -50 0.0
29600 178.7109060142993 177.53999576278866                         -50 -50 0.0
30100 178.7219801941905 177.80614531170633                         -50 -50 0.0
30600 178.7219801941905 177.99369067720448                         -50 -50 0.0
31100 178.72425350805943 178.11040079213205                         -50 -50 0.0
31600 178.73221439041944 178.234381279274                         -50 -50 0.0
32100 178.73221439041944 178.30442391376837                         -50 -50 0.0
32600 178.73221439041944 178.33325524700768                         -50 -50 0.0
33100 179.1444774046247 178.37927345468756                         -50 -50 0.0
33600 179.1444774046247 178.49337486645706                         -50 -50 0.0
34100 179.15421626915403 178.62392434312167                         -50 -50 0.0
34600 179.15827069539336 178.73822296141918                         -50 -50 0.0
35100 179.16403010367657 178.82431302408804                         -50 -50 0.0
35600 179.16403010367657 178.95147252628456                         -50 -50 0.0
36100 179.16403010367657 179.0501423284719                         -50 -50 0.0
36600 179.16403010367657 179.12936084540857                         -50 -50 0.0
37100 179.16403010367657 179.14275728519166                         -50 -50 0.0
37600 179.16403010367657 179.14609269987014                         -50 -50 0.0
38100 179.17075691649777 179.16051135479182                         -50 -50 0.0
38600 179.18060029966216 179.14451612416528                         -50 -50 0.0
39100 179.18157429474692 179.1760557786109                         -50 -50 0.0
39600 179.18157429474692 179.17665952948616                         -50 -50 0.0
40100 179.18157429474692 179.17969061857286                         -50 -50 0.0
40600 179.58644875328258 179.1793251091239                         -50 -50 0.0
41100 179.58644875328258 179.17482043862717                         -50 -50 0.0
41600 179.58644875328258 179.1852241035256                         -50 -50 0.0
42100 179.58644875328258 179.1805020606265                         -50 -50 0.0
42600 179.58644875328258 179.22213473024127                         -50 -50 0.0
43100 179.58644875328258 179.27111920759563                         -50 -50 0.0
43600 179.58644875328258 179.3999784172939                         -50 -50 0.0
44100 179.59608155579204 179.53589320997753                         -50 -50 0.0
44600 179.59608155579204 179.57454846664027                         -50 -50 0.0
45100 179.59819260453975 179.57944084366045                         -50 -50 0.0
45600 179.59819260453975 179.58608981661064                         -50 -50 0.0
46100 179.60198207110557 179.59410027110715                         -50 -50 0.0
46600 179.60198207110557 179.59368238543493                         -50 -50 0.0
47100 179.60516129113094 179.59355446145932                         -50 -50 0.0
47600 179.60516129113094 179.59724908340314                         -50 -50 0.0
48100 179.60516129113094 179.59449325255363                         -50 -50 0.0
48600 179.60516129113094 179.59921757773176                         -50 -50 0.0
49100 179.60516129113094 179.58622018313085                         -50 -50 0.0
49600 179.60516129113094 179.57767620881148                         -50 -50 0.0
50100 179.60516129113094 179.59982500493842                         -50 -50 0.0
50600 179.60516129113094 179.60041470576908                         -50 -50 0.0
51100 179.60516129113094 179.59776530498854                         -50 -50 0.0
51600 179.60516129113094 179.59904037538664                         -50 -50 0.0
52100 179.60516129113094 179.59744804420998                         -50 -50 0.0
52600 179.60516129113094 179.59151430038278                         -50 -50 0.0
53100 179.60516129113094 179.5958797642852                         -50 -50 0.0
53600 179.60516129113094 179.59529876505488                         -50 -50 0.0
54100 179.60516129113094 179.57317473456735                         -50 -50 0.0
54600 179.60516129113094 179.59604111261947                         -50 -50 0.0
55100 179.60516129113094 179.5966021404859                         -50 -50 0.0
55600 179.60516129113094 179.5918954970745                         -50 -50 0.0
56100 179.60516129113094 179.58780704612866                         -50 -50 0.0
56600 179.60516129113094 179.5891774059502                         -50 -50 0.0
57100 179.60516129113094 179.59038194285364                         -50 -50 0.0
57600 179.60516129113094 179.60131434112316                         -50 -50 0.0
58100 179.60516129113094 179.59176735287855                         -50 -50 0.0
58600 179.60516129113094 179.59273774190737                         -50 -50 0.0
59100 179.60516129113094 179.58322145759453                         -50 -50 0.0
59600 179.60516129113094 179.58881144464831                         -50 -50 0.0
60100 179.60516129113094 179.5975372583033                         -50 -50 0.0
60600 179.60516129113094 179.59487354196384                         -50 -50 0.0
61100 179.60516129113094 179.59306183039763                         -50 -50 0.0
61600 179.60516129113094 179.59535330679935                         -50 -50 0.0
62100 179.60516129113094 179.5801831761789                         -50 -50 0.0
62600 179.60516129113094 179.58493519673482                         -50 -50 0.0
63100 179.60516129113094 179.57765454976348                         -50 -50 0.0
63600 179.60516129113094 179.5663737277281                         -50 -50 0.0
64100 179.60516129113094 179.58766044113074                         -50 -50 0.0
64600 179.60516129113094 179.59350357594863                         -50 -50 0.0
65100 179.60516129113094 179.5884354596367                         -50 -50 0.0
65600 179.60516129113094 179.58168035632934                         -50 -50 0.0
66100 179.60516129113094 179.58331488771125                         -50 -50 0.0
66600 179.60516129113094 179.58766557208978                         -50 -50 0.0
67100 179.60516129113094 179.5867336890704                         -50 -50 0.0
67600 179.60516129113094 179.5866850707032                         -50 -50 0.0
68100 179.60516129113094 179.60069179048028                         -50 -50 0.0
68600 179.60516129113094 179.5951861318443                         -50 -50 0.0
69100 179.60516129113094 179.58575340511362                         -50 -50 0.0
69600 179.60516129113094 179.59488748194588                         -50 -50 0.0
70100 179.60516129113094 179.59071144679365                         -50 -50 0.0
70600 179.60516129113094 179.59964596179415                         -50 -50 0.0
71100 179.60516129113094 179.59241253055353                         -50 -50 0.0
71600 179.60516129113094 179.59339125143927                         -50 -50 0.0
72100 179.60516129113094 179.5780747444915                         -50 -50 0.0
72600 179.60516129113094 179.5942076797673                         -50 -50 0.0
73100 179.60516129113094 179.57261004916384                         -50 -50 0.0
73600 179.60516129113094 179.58959020899047                         -50 -50 0.0
74100 179.60516129113094 179.5863997868805                         -50 -50 0.0
74600 179.60516129113094 179.59234402931645                         -50 -50 0.0
75100 179.60516129113094 179.56890089863327                         174 -49.626666666666665 0.0016666666666666668
75600 179.60516129113094 179.58994552271662                         -50 -50 0.0
76100 179.60516129113094 179.59969297687294                         -50 -50 0.0
76600 179.60516129113094 179.59730710327383                         -50 -50 0.0
77100 179.60516129113094 179.6011680702107                         -50 -50 0.0
77600 179.60516129113094 179.59762036479285                         -50 -50 0.0
78100 179.60516129113094 179.59513704976993                         -50 -50 0.0
78600 179.60516129113094 179.59270787683283                         -50 -50 0.0
79100 179.60516129113094 179.59004163986378                         -50 -50 0.0
79600 179.60516129113094 179.59372684775565                         -50 -50 0.0
80100 179.60516129113094 179.58386867893807                         -50 -50 0.0
80600 179.60516129113094 179.598789019191                         -50 -50 0.0
81100 179.60516129113094 179.59830669632146                         -50 -50 0.0
81600 179.60516129113094 179.5950142784665                         -50 -50 0.0
82100 179.60516129113094 179.56972793028413                         -50 -50 0.0
82600 179.60516129113094 179.59891700270677                         -50 -50 0.0
83100 180.0 179.59986997821198                         180 -49.61666666666667 0.0016666666666666668
83600 180.0 179.595046118538                         180 -49.61666666666667 0.0016666666666666668
84100 180.0 179.58062717181915                         180 -48.85 0.005
84600 180.0 179.6019092199792                         180 -45.78333333333333 0.018333333333333333
85100 180.0 179.61678074687833                         180 -38.11666666666667 0.051666666666666666
85600 180.0 179.63176088338284                         180 -22.4 0.12
86100 180.0 179.69529668481044                         180 10.183333333333334 0.26166666666666666
86600 180.0 179.7920008922368                         180 68.06666666666666 0.5133333333333333
87100 180.0 179.92893504094684                         180 146.26666666666668 0.8533333333333334
87600 180.0 179.98930445230846                         180 175.4 0.98
88100 180.0 180.0                         180 180 1.0
88600 180.0 179.9979566013769                         180 179.61666666666667 0.9983333333333333
89100 180.0 179.99400296819664                         180 179.23333333333332 0.9966666666666667
89600 180.0 179.98432583227088                         180 179.23333333333332 0.9966666666666667
90100 180.0 180.0                         180 180 1.0
90600 180.0 179.99666666666667                         180 179.99666666666667 1.0
91100 180.0 179.97526364581088                         180 178.08333333333334 0.9916666666666667
91600 180.0 179.99038030670422                         180 179.61666666666667 0.9983333333333333
92100 180.0 179.9772782284881                         180 178.46666666666667 0.9933333333333333
92600 180.0 179.98554996073057                         180 179.23333333333332 0.9966666666666667
93100 180.0 179.99650199387074                         180 179.61666666666667 0.9983333333333333
93600 180.0 179.9731949495995                         180 178.46666666666667 0.9933333333333333
94100 180.0 180.0                         180 180 1.0
94600 180.0 179.9959417779702                         180 179.61666666666667 0.9983333333333333
95100 180.0 179.98308515107405                         180 179.23333333333332 0.9966666666666667
95600 180.0 179.99932706234233                         180 179.61666666666667 0.9983333333333333
96100 180.0 179.98975728018445                         180 178.85 0.995
96600 180.0 179.9945353903948                         180 179.23333333333332 0.9966666666666667
97100 180.0 179.98382387000308                         180 178.85 0.995
97600 180.0 179.98215140102934                         180 179.23333333333332 0.9966666666666667
98100 180.0 179.99317735006574                         180 179.23333333333332 0.9966666666666667
98600 180.0 179.9940859342885                         180 179.61666666666667 0.9983333333333333
99100 180.0 179.98697152208942                         180 178.85 0.995
99600 180.0 179.99547559919728                         180 179.61666666666667 0.9983333333333333
100100 180.0 180.0                         180 180 1.0
