176
[(88, 0, 0), (74, 20, 2), (93, 15, 1), (108, 23, 3), (74, 23, 2), (77, 10, 1), (84, 25, 3), (100, 22, 0), (79, 0, 3), (75, 9, 1), (106, 6, 2), (98, 25, 3), (104, 14, 2), (83, 15, 1), (93, 29, 2), (103, 12, 2), (90, 22, 2), (79, 28, 0), (109, 34, 2), (88, 21, 1)]
600 47                     -29.748333333333335 -50 -50 0.0
26600 171.26134693335345 169.89748434550634                         -50 -50 0.0
27100 171.63261003220265 170.08197867677276                         -50 -50 0.0
27600 171.88814170891524 170.2378096152123                         -50 -50 0.0
28100 171.8922936154461 170.41514647358417                         171 -49.263333333333335 0.0033333333333333335
28600 172.92079010093937 170.66979686293905                         172 -48.89333333333333 0.005
29100 173.2786489132741 171.00190136019992                         172 -48.52333333333333 0.006666666666666667
29600 173.2786489132741 171.30057116970224                         172 -45.56333333333333 0.02
30100 173.6291368277877 171.60274196325278                         172 -40.751666666666665 0.041666666666666664
30600 173.62973916616664 171.8798566552231                         172 -30.76 0.08666666666666667
31100 173.63444409565403 172.20182959633675                         172 -28.54 0.09666666666666666
31600 173.63444409565403 172.65035382118322                         172 -32.24 0.08
32100 173.63444409565403 173.1089372968176                         172 -45.93 0.018333333333333333
32600 173.63444409565403 173.39376849917198                         -50 -50 0.0
33100 173.63444409565403 173.56819809953                         -50 -50 0.0
33600 174.0 173.61754352576935                         174 -49.626666666666665 0.0016666666666666668
34100 174.0 173.6174730973957                         174 -49.25333333333333 0.0033333333333333335
34600 174.0 173.6333806649212                         174 -47.38666666666666 0.011666666666666667
35100 174.0 173.63520495633847                         174 -45.52 0.02
35600 174.0 173.6433141057436                         174 -37.68 0.055
36100 174.0 173.67101617658494                         174 -18.64 0.14
36600 174.0 173.74771475303768                         174 21.30666666666667 0.31833333333333336
37100 174.0 173.8503658828324                         174 85.52 0.605
37600 174.0 173.9529329062794                         174 149.36 0.89
38100 174.0 173.98466515413205                         174 171.38666666666666 0.9883333333333333
38600 174.0 173.99404291254513                         174 173.62666666666667 0.9983333333333333
39100 174.0 173.9936919998493                         174 173.62666666666667 0.9983333333333333
39600 174.0 173.99352597274225                         174 173.25333333333333 0.9966666666666667
40100 174.0 173.99365741150717                         174 173.25333333333333 0.9966666666666667
40600 174.0 173.9993523909106                         174 173.62666666666667 0.9983333333333333
41100 174.0 174.0                         174 174 1.0
41600 174.0 173.99814594650383                         174 173.62666666666667 0.9983333333333333
42100 174.0 173.98747500952356                         174 173.25333333333333 0.9966666666666667
42600 174.0 173.9884911098477                         174 173.62333333333333 0.9983333333333333
43100 174.0 173.992033995133                         174 172.87666666666667 0.995
43600 174.0 174.0                         174 174 1.0
44100 174.0 173.99036870984506                         174 173.25333333333333 0.9966666666666667
44600 174.0 173.99383734018096                         174 173.62666666666667 0.9983333333333333
45100 174.0 174.0                         174 174 1.0
45600 174.0 174.0                         174 174 1.0
46100 174.0 174.0                         174 174 1.0
46600 174.0 173.99687112292634                         174 173.62666666666667 0.9983333333333333
47100 174.0 173.99627893963617                         174 173.62666666666667 0.9983333333333333
47600 174.0 173.9762714671171                         174 172.88 0.995
48100 174.0 173.9943499582733                         174 173.62666666666667 0.9983333333333333
48600 174.0 173.99584600761693                         174 173.62666666666667 0.9983333333333333
49100 174.0 173.99052661110383                         174 172.88 0.995
49600 174.0 173.99510848166932                         174 173.62666666666667 0.9983333333333333
50100 174.0 174.0                         174 174 1.0
50600 174.0 174.0                         174 174 1.0
51100 174.0 173.9919212085577                         174 172.88 0.995
51600 174.0 173.99833333333333                         174 173.99833333333333 1.0
52100 174.0 173.98711724131692                         174 173.25333333333333 0.9966666666666667
52600 174.19453089936644 173.9929407514098                         174 172.88 0.995
53100 175.0 173.978310906163                         175 171.38833333333332 0.9883333333333333
53600 175.0 174.0040524292614                         175 172.13666666666666 0.9916666666666667
54100 175.0 174.0113775830164                         175 172.51666666666668 0.9933333333333333
54600 175.0 174.01691877916207                         175 172.15666666666667 0.9916666666666667
55100 175.0 174.05344168182418                         175 172.185 0.9916666666666667
55600 175.0 174.09714937384277                         175 169.98833333333334 0.9816666666666667
56100 175.0 174.18491096525088                         175 165.21666666666667 0.96
56600 175.0 174.40298664048655                         175 160.945 0.94
57100 175.0 174.73093801239722                         175 155.29 0.9133333333333333
57600 175.0 174.94242635311682                         175 165.22166666666666 0.9566666666666667
58100 175.0 174.9877054657179                         175 172.37333333333333 0.9883333333333333
58600 175.0 175.0                         175 175 1.0
59100 175.0 175.0                         175 175 1.0
59600 175.0 175.0                         175 175 1.0
60100 175.0 175.0                         175 175 1.0
60600 175.0 174.98056249590212                         175 173.5 0.9933333333333333
61100 175.0 174.98895147701202                         175 174.625 0.9983333333333333
61600 175.0 174.99730187384182                         175 174.625 0.9983333333333333
62100 175.0 175.0                         175 175 1.0
62600 175.0 174.99865905577408                         175 174.625 0.9983333333333333
63100 175.0 175.0                         175 175 1.0
63600 175.0 174.99932851975717                         175 174.625 0.9983333333333333
64100 175.0 174.98830648009235                         175 174.25 0.9966666666666667
64600 175.0 175.0                         175 175 1.0
65100 176.0 175.00027646117076                         176 174.62666666666667 0.9983333333333333
65600 176.0 174.9949894938226                         176 174.25333333333333 0.9966666666666667
66100 176.0 174.97724280838705                         176 173.50333333333333 0.9933333333333333
66600 176.0 174.99644499185158                         176 174.25333333333333 0.9966666666666667
67100 176.0 175.0020619983846                         176 174.25833333333333 0.9966666666666667
67600 176.0 175.0076184273938                         176 173.88833333333332 0.995
68100 176.0 175.03331435709853                         176 172.78666666666666 0.99
68600 176.0 175.0714055074006                         176 172.07666666666665 0.9866666666666667
69100 176.0 175.13977298451962                         176 169.15333333333334 0.9733333333333334
69600 176.0 175.32672078020522                         176 165.18333333333334 0.955
70100 176.0 175.58748571028588                         176 160.18333333333334 0.9316666666666666
70600 176.0 175.89307765380568                         176 164.24666666666667 0.9483333333333334
71100 176.0 175.98824631193753                         176 174.485 0.9933333333333333
71600 176.0 175.99625169421125                         176 175.62333333333333 0.9983333333333333
72100 176.0 175.98550883280907                         176 175.62333333333333 0.9983333333333333
72600 176.0 175.99666666666667                         176 175.99666666666667 1.0
73100 176.0 175.98024952103185                         176 174.87 0.995
73600 176.0 175.99713082710824                         176 175.62333333333333 0.9983333333333333
74100 176.0 176.0                         176 176 1.0
74600 176.0 175.98865539568882                         176 175.24666666666667 0.9966666666666667
75100 176.0 175.98487675617744                         176 175.24666666666667 0.9966666666666667
75600 176.0 175.9978498969057                         176 175.62333333333333 0.9983333333333333
76100 176.0 175.98664456183292                         176 175.24666666666667 0.9966666666666667
76600 176.0 176.0                         176 176 1.0
77100 176.0 175.97432834765223                         176 174.11666666666667 0.9916666666666667
77600 176.0 175.99445893640535                         176 175.62 0.9983333333333333
78100 176.0 175.9688257399736                         176 174.49333333333334 0.9933333333333333
78600 176.0 175.98516128258942                         176 175.24666666666667 0.9966666666666667
79100 176.0 175.98703358465852                         176 174.87 0.995
79600 176.0 175.9858343337789                         176 174.49333333333334 0.9933333333333333
80100 176.0 175.99013523348907                         176 175.62333333333333 0.9983333333333333
80600 176.0 175.9887406501384                         176 175.24666666666667 0.9966666666666667
81100 176.0 175.96905610756875                         176 174.11666666666667 0.9916666666666667
81600 176.0 175.98930223602886                         176 175.62333333333333 0.9983333333333333
82100 176.0 175.99500373015118                         176 174.49333333333334 0.9933333333333333
82600 176.0 175.99928624716446                         176 175.62333333333333 0.9983333333333333
83100 176.0 175.99592508909925                         176 175.62333333333333 0.9983333333333333
83600 176.0 175.98312940245881                         176 175.24666666666667 0.9966666666666667
84100 176.0 175.99924351435882                         176 175.62333333333333 0.9983333333333333
84600 176.0 175.98814980494788                         176 174.87 0.995
85100 176.0 175.98828656927486                         176 174.87 0.995
85600 176.0 176.0                         176 176 1.0
86100 176.0 175.9964164644134                         176 175.24666666666667 0.9966666666666667
86600 176.0 175.9949895629557                         176 175.24666666666667 0.9966666666666667
87100 176.0 175.98979662967176                         176 175.61666666666667 0.9983333333333333
87600 176.0 176.0                         176 176 1.0
88100 176.0 175.99388119630868                         176 175.62333333333333 0.9983333333333333
88600 176.0 176.0                         176 176 1.0
89100 176.0 175.99384790951922                         176 175.62333333333333 0.9983333333333333
89600 176.0 175.98430286850788                         176 175.24666666666667 0.9966666666666667
90100 176.0 175.99308380940943                         176 175.62 0.9983333333333333
90600 176.0 175.98856617324705                         176 175.24666666666667 0.9966666666666667
91100 176.0 175.99717250295743                         176 175.62333333333333 0.9983333333333333
91600 176.0 175.99276662563548                         176 175.24666666666667 0.9966666666666667
92100 176.0 175.99495632890225                         176 175.62333333333333 0.9983333333333333
92600 176.0 175.98992325838068                         176 175.24666666666667 0.9966666666666667
93100 176.0 175.96928831959008                         176 174.865 0.995
93600 176.0 175.99563807507764                         176 175.62333333333333 0.9983333333333333
94100 176.0 175.9906477277845                         176 175.24166666666667 0.9966666666666667
94600 176.0 175.98393669865376                         176 175.24666666666667 0.9966666666666667
95100 176.0 175.9949040583269                         176 175.62333333333333 0.9983333333333333
95600 176.0 175.98684895021634                         176 175.24666666666667 0.9966666666666667
96100 176.0 175.99340651821925                         176 175.24666666666667 0.9966666666666667
96600 176.0 175.99335720120362                         176 175.24666666666667 0.9966666666666667
97100 176.0 175.99622216805264                         176 175.62333333333333 0.9983333333333333
97600 176.0 175.99348831743032                         176 175.62333333333333 0.9983333333333333
98100 176.0 175.99237608692263                         176 175.24666666666667 0.9966666666666667
98600 176.0 175.99847945562865                         176 175.62333333333333 0.9983333333333333
99100 176.0 175.99851254387877                         176 175.62333333333333 0.9983333333333333
99600 176.0 175.99414223936657                         176 174.87 0.995
100100 176.0 175.9905004581778                         176 175.62333333333333 0.9983333333333333
